model,episode,scenario,scenario_name,n_agents,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,1,기본 탈출,20,20,12,8,0,1.0,53,0.0,434.58,[]
astar,2,1,기본 탈출,20,20,8,12,0,1.0,58,0.0,448.62,[]
astar,3,1,기본 탈출,20,20,10,10,0,1.0,78,0.0,439.61,[]
astar,4,1,기본 탈출,20,20,10,10,0,1.0,45,0.0,452.14,[]
astar,5,1,기본 탈출,20,20,9,11,0,1.0,58,0.0,450.4,[]
astar,6,1,기본 탈출,20,19,7,12,1,0.95,102,0.0,373.52,[]
astar,7,1,기본 탈출,20,20,12,8,0,1.0,57,0.0,448.32,[]
astar,8,1,기본 탈출,20,20,11,9,0,1.0,60,0.0,455.33,[]
astar,9,1,기본 탈출,20,20,13,7,0,1.0,73,0.0,450.05,[]
astar,10,1,기본 탈출,20,20,11,9,0,1.0,37,0.0,450.11,[]
astar,11,1,기본 탈출,20,20,9,11,0,1.0,63,0.0,454.49,[]
astar,12,1,기본 탈출,20,20,9,11,0,1.0,76,0.0,454.09,[]
astar,13,1,기본 탈출,20,20,8,12,0,1.0,60,0.0,433.6,[]
astar,14,1,기본 탈출,20,20,11,9,0,1.0,64,0.0,460.87,[]
astar,15,1,기본 탈출,20,20,10,10,0,1.0,67,0.0,451.58,[]
astar,16,1,기본 탈출,20,20,12,8,0,1.0,66,0.0,437.11,[]
astar,17,1,기본 탈출,20,20,8,12,0,1.0,77,0.0,434.69,[]
astar,18,1,기본 탈출,20,20,10,10,0,1.0,60,0.0,461.38,[]
astar,19,1,기본 탈출,20,20,11,9,0,1.0,66,0.0,442.93,[]
astar,20,1,기본 탈출,20,20,11,9,0,1.0,92,0.0,463.53,[]
astar,21,1,기본 탈출,20,20,9,11,0,1.0,42,0.0,440.37,[]
astar,22,1,기본 탈출,20,20,15,5,0,1.0,51,0.0,444.63,[]
astar,23,1,기본 탈출,20,20,13,7,0,1.0,70,0.0,455.62,[]
astar,24,1,기본 탈출,20,20,8,12,0,1.0,49,0.0,450.7,[]
astar,25,1,기본 탈출,20,20,12,8,0,1.0,67,0.0,447.14,[]
astar,26,1,기본 탈출,20,20,13,7,0,1.0,82,0.0,458.47,[]
astar,27,1,기본 탈출,20,20,11,9,0,1.0,96,0.0,435.8,[]
astar,28,1,기본 탈출,20,20,8,12,0,1.0,57,0.0,443.84,[]
astar,29,1,기본 탈출,20,20,10,10,0,1.0,44,0.0,438.68,[]
astar,30,1,기본 탈출,20,20,10,10,0,1.0,63,0.0,452.77,[]
ppo,1,1,기본 탈출,20,20,11,9,0,1.0,65,0.0,452.15,[]
ppo,2,1,기본 탈출,20,20,14,6,0,1.0,82,0.0,420.2,[]
ppo,3,1,기본 탈출,20,20,10,10,0,1.0,56,0.0,462.99,[]
ppo,4,1,기본 탈출,20,20,11,9,0,1.0,61,0.0,431.52,[]
ppo,5,1,기본 탈출,20,18,11,7,2,0.9,146,0.0,315.27,[]
ppo,6,1,기본 탈출,20,20,11,9,0,1.0,58,0.0,451.34,[]
ppo,7,1,기본 탈출,20,20,10,10,0,1.0,60,0.0,446.48,[]
ppo,8,1,기본 탈출,20,20,11,9,0,1.0,59,0.0,440.56,[]
ppo,9,1,기본 탈출,20,19,10,9,1,0.95,71,0.0,409.16,[]
ppo,10,1,기본 탈출,20,20,9,11,0,1.0,59,0.0,427.99,[]
ppo,11,1,기본 탈출,20,20,9,11,0,1.0,53,0.0,449.65,[]
ppo,12,1,기본 탈출,20,20,9,11,0,1.0,39,0.0,457.05,[]
ppo,13,1,기본 탈출,20,20,13,7,0,1.0,52,0.0,440.67,[]
ppo,14,1,기본 탈출,20,20,12,8,0,1.0,63,0.0,448.65,[]
ppo,15,1,기본 탈출,20,20,11,9,0,1.0,82,0.0,444.34,[]
ppo,16,1,기본 탈출,20,20,12,8,0,1.0,68,0.0,435.85,[]
ppo,17,1,기본 탈출,20,20,11,9,0,1.0,59,0.0,448.55,[]
ppo,18,1,기본 탈출,20,20,11,9,0,1.0,93,0.0,436.79,[]
ppo,19,1,기본 탈출,20,20,10,10,0,1.0,43,0.0,443.94,[]
ppo,20,1,기본 탈출,20,20,11,9,0,1.0,71,0.0,435.96,[]
ppo,21,1,기본 탈출,20,20,14,6,0,1.0,81,0.0,433.44,[]
ppo,22,1,기본 탈출,20,20,11,9,0,1.0,48,0.0,451.51,[]
ppo,23,1,기본 탈출,20,20,10,10,0,1.0,46,0.0,460.11,[]
ppo,24,1,기본 탈출,20,20,9,11,0,1.0,67,0.0,458.74,[]
ppo,25,1,기본 탈출,20,20,10,10,0,1.0,54,0.0,460.52,[]
ppo,26,1,기본 탈출,20,20,14,6,0,1.0,68,0.0,446.24,[]
ppo,27,1,기본 탈출,20,20,9,11,0,1.0,57,0.0,438.02,[]
ppo,28,1,기본 탈출,20,20,11,9,0,1.0,68,0.0,443.02,[]
ppo,29,1,기본 탈출,20,20,10,10,0,1.0,64,0.0,446.43,[]
ppo,30,1,기본 탈출,20,20,8,12,0,1.0,71,0.0,432.89,[]
